,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_kernel,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_train_neg_mean_absolute_error,split1_train_neg_mean_absolute_error,split2_train_neg_mean_absolute_error,split3_train_neg_mean_absolute_error,split4_train_neg_mean_absolute_error,mean_train_neg_mean_absolute_error,std_train_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_train_neg_mean_squared_error,split1_train_neg_mean_squared_error,split2_train_neg_mean_squared_error,split3_train_neg_mean_squared_error,split4_train_neg_mean_squared_error,mean_train_neg_mean_squared_error,std_train_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2
0,2.7830554485321044,0.024663682082037102,0.12281079292297363,0.0009247111773053952,0.001,0.001,linear,"{'C': 0.001, 'epsilon': 0.001, 'kernel': 'linear'}",-0.4118961685965247,-0.42209026473788236,-0.4172771547911367,-0.40851401292390327,-0.4116083807850199,-0.41427719636689336,0.004817674567004494,17,-0.4135232150555797,-0.41280130886098604,-0.41462682933394596,-0.4151691996506058,-0.4123594249243021,-0.41369599556508396,0.0010633456882506434,-0.24814419209537142,-0.26300030426599563,-0.2551131853120823,-0.24618265753728244,-0.24354219899434001,-0.2511965076410144,0.007038660989909678,17,-0.24926140688220846,-0.2504129643569937,-0.25331015052379796,-0.2517096712800995,-0.24852305586451315,-0.25064344978152253,0.001715071870367838,0.7437424803110768,0.743141977898542,0.7536711979271125,0.7523407436543526,0.7509070336484103,0.7487606866878987,0.004433712157737961,17,0.7526917151669953,0.7480748317558306,0.744398330338574,0.7486646023097918,0.7528511754335598,0.7493361310009503,0.0031635165372977934
1,2.7286614418029784,0.027627546614279568,0.1230271339416504,0.0028788230556756403,0.001,0.01,linear,"{'C': 0.001, 'epsilon': 0.01, 'kernel': 'linear'}",-0.41171237318140097,-0.4220726365958793,-0.4171592749999699,-0.4084839971392632,-0.41169141781848584,-0.41422393994699985,0.004814287285671427,16,-0.41330309132820514,-0.41273588649616305,-0.41453977012427035,-0.4151243067033834,-0.4125126740914647,-0.41364314574869737,0.0010212243213486357,-0.24781765234091935,-0.2630324782596239,-0.2549357282297311,-0.24606708002871366,-0.24368740864007546,-0.25110806949981274,0.007044815443236109,16,-0.2488510195737697,-0.25036099148008123,-0.2531578404832456,-0.2515549566533192,-0.24872634072013505,-0.2505302297821101,0.0016767115095854166,0.7440796966160369,0.7431105553175319,0.7538425445804086,0.7524570143945775,0.75075851441212,0.748849665064135,0.004410793592281934,16,0.7530988868292141,0.7481271184886439,0.7445520182211595,0.7488190868874108,0.7526490146604101,0.7494492250173677,0.003152343865809039
2,0.13229026794433593,0.006784796252272019,0.008055019378662109,0.00011965623991572531,0.001,1.0,linear,"{'C': 0.001, 'epsilon': 1.0, 'kernel': 'linear'}",-0.43737157551815914,-0.4452591522331617,-0.4445610483118473,-0.43575740331578233,-0.4332989761487629,-0.4392496311055426,0.004805383211820944,18,-0.43790200679532604,-0.43856692880377107,-0.43920788145365136,-0.44007595027789825,-0.4399927037104549,-0.43914909420822035,0.0008328671778767111,-0.28517930537368325,-0.2985978514720042,-0.2954569566365759,-0.2887550833087005,-0.2821821549062223,-0.29003427033943724,0.0061579731981564875,18,-0.2883311126928647,-0.28945120410167563,-0.29079725720485017,-0.29002889498529605,-0.29051787512486915,-0.2898252688219112,0.0008761684170035267,0.705496466209522,0.7083757992337789,0.7147165948974495,0.7095129692983017,0.7113864032298228,0.709897646573775,0.003074834755182051,18,0.7139281454117724,0.7088008463178617,0.706572104114952,0.7104023564447595,0.7110885704230397,0.710158404542477,0.0024429565042101485
3,0.002550220489501953,0.0002351667660663045,0.001367807388305664,0.00010951694562774516,0.001,10.0,linear,"{'C': 0.001, 'epsilon': 10.0, 'kernel': 'linear'}",-0.7994314145102375,-0.8212161727317184,-0.8333327572968952,-0.8032806759728441,-0.7993944083295845,-0.811331085768256,0.013643196374216782,19,-0.8141960892546897,-0.8087498996993194,-0.8067406139612116,-0.813233773889038,-0.8136447828250425,-0.8113130319258601,0.0029971648056268175,-0.9849454793721341,-1.0401872319073395,-1.0599355116854088,-1.012063915153922,-0.996859587399649,-1.0187983451036906,0.027649336728591233,19,-1.0270161609793236,-1.0132057228455222,-1.0106369188685664,-1.0202365520338765,-1.0227386571388888,-1.0187668023732355,0.006049930959428847,-0.0171492769643935,-0.015894014832342318,-0.02343845751674012,-0.018134254901063684,-0.01957982101972866,-0.018839165046853658,0.002597252098839249,19,-0.01896883454404774,-0.019324310341700457,-0.019779441724408597,-0.018719536041101437,-0.01708332883343111,-0.018775090296937868,0.0009179372969291256
4,0.002496623992919922,7.621859763725543e-05,0.0015873432159423829,0.0004318288326383241,0.001,100.0,linear,"{'C': 0.001, 'epsilon': 100.0, 'kernel': 'linear'}",-0.7994314145102377,-0.8212161727317185,-0.8333327572968949,-0.8032806759728447,-0.7993944083295847,-0.8113310857682562,0.013643196374216585,25,-0.81419608925469,-0.8087498996993198,-0.8067406139612111,-0.8132337738890384,-0.8136447828250427,-0.8113130319258606,0.0029971648056270517,-0.9849454793721348,-1.0401872319073402,-1.0599355116854081,-1.0120639151539228,-0.9968595873996495,-1.018798345103691,0.027649336728590816,25,-1.0270161609793245,-1.0132057228455231,-1.0106369188685655,-1.0202365520338774,-1.0227386571388895,-1.0187668023732361,0.006049930959429295,-0.01714927696439439,-0.015894014832342984,-0.023438457516739453,-0.018134254901064573,-0.019579821019729327,-0.018839165046854144,0.0025972520988387362,25,-0.018968834544048407,-0.019324310341701345,-0.01977944172440793,-0.018719536041102325,-0.017083328833431777,-0.018775090296938357,0.000917937296928858
5,2.9183592319488527,0.14919196779407584,0.12844586372375488,0.005762286443251784,0.01,0.001,linear,"{'C': 0.01, 'epsilon': 0.001, 'kernel': 'linear'}",-0.4096225012189711,-0.4157952682261516,-0.40874687408606375,-0.40386598721355826,-0.41060470235250374,-0.4097270666194497,0.0038188290966514925,2,-0.4090216663982223,-0.4075781241225133,-0.40937380611582186,-0.41047765539437164,-0.40870709760362417,-0.40903166992691065,0.000940869152749941,-0.24159503763470727,-0.25052617895293633,-0.24159196919054227,-0.236516530452028,-0.2386834350885945,-0.2417826302637617,0.00477195985482287,6,-0.23936957624356167,-0.24022571286308028,-0.2424813759446848,-0.24216841324730815,-0.24089484868802205,-0.2410279853973314,0.0011682985310292454,0.7505057660602932,0.7553247742808518,0.766726834254624,0.7620648479825142,0.7558765375745546,0.7580997520305676,0.0056649861527516545,6,0.7625060370056678,0.7583236024340574,0.7553250652407686,0.7581916732003973,0.7604372017306407,0.7589567159223063,0.0024068455750020897
6,2.73557505607605,0.060141678345323635,0.1288663387298584,0.008321094620873092,0.01,0.01,linear,"{'C': 0.01, 'epsilon': 0.01, 'kernel': 'linear'}",-0.40961013210124686,-0.41562587579833005,-0.4087748291215543,-0.4038414860892974,-0.4105508392527979,-0.4096806324726453,0.0037689324361469467,1,-0.40906416300272896,-0.40755900079400675,-0.4093856167933943,-0.410465167008563,-0.4087436720464689,-0.40904352392903237,0.000941513954723019,-0.24159175875594896,-0.2499181010308366,-0.24150424281493565,-0.23642744336390797,-0.2387182481512955,-0.24163195882338492,0.004566284510516846,5,-0.23947380791989978,-0.2398983963923414,-0.24239822929376986,-0.24210071968197738,-0.24105186714867513,-0.24098460408733274,0.001158527235803548,0.7505091521453386,0.755918650751033,0.7668115399235487,0.762154469413262,0.7558409310591672,0.7582469486584699,0.005651625053018829,4,0.7624026220509708,0.7586528955166728,0.755408964061075,0.7582592661104232,0.7602810515181355,0.7590009598514554,0.0023144603059659396
7,0.025129127502441406,0.005557573915275208,0.00213775634765625,5.968881386246567e-05,0.01,1.0,linear,"{'C': 0.01, 'epsilon': 1.0, 'kernel': 'linear'}",-0.4130020854639836,-0.4164348644493012,-0.4092630371845981,-0.4080002854100232,-0.4121924633011253,-0.41177854716180623,0.002964885007534989,15,-0.4116554212401873,-0.41079155492960223,-0.4121029353152516,-0.4131771211673254,-0.41130006628287236,-0.4118054197870478,0.0008094299035226813,-0.2458413927678293,-0.2494359075148561,-0.24201215481929014,-0.24226533139391576,-0.24142767192527306,-0.24419649168423288,0.0030438215547253615,15,-0.2439907152710373,-0.24307738713602342,-0.24436553314761345,-0.24533851824920352,-0.2445015426475258,-0.2442547392902807,0.0007353408441866475,0.7461205720126567,0.7563895828023497,0.7663211169944553,0.756281565844001,0.7530697546152061,0.7556365184537338,0.006515909012523973,15,0.757921107548859,0.7554547073557475,0.7534238633900835,0.755026281909236,0.7568504513200542,0.755735282304796,0.0015456710641273965
8,0.002340221405029297,7.975543014209257e-05,0.00167999267578125,0.0008175157823396024,0.01,10.0,linear,"{'C': 0.01, 'epsilon': 10.0, 'kernel': 'linear'}",-0.7994314145102375,-0.8212161727317184,-0.8333327572968952,-0.8032806759728441,-0.7993944083295845,-0.811331085768256,0.013643196374216782,19,-0.8141960892546897,-0.8087498996993194,-0.8067406139612116,-0.813233773889038,-0.8136447828250425,-0.8113130319258601,0.0029971648056268175,-0.9849454793721341,-1.0401872319073395,-1.0599355116854088,-1.012063915153922,-0.996859587399649,-1.0187983451036906,0.027649336728591233,19,-1.0270161609793236,-1.0132057228455222,-1.0106369188685664,-1.0202365520338765,-1.0227386571388888,-1.0187668023732355,0.006049930959428847,-0.0171492769643935,-0.015894014832342318,-0.02343845751674012,-0.018134254901063684,-0.01957982101972866,-0.018839165046853658,0.002597252098839249,19,-0.01896883454404774,-0.019324310341700457,-0.019779441724408597,-0.018719536041101437,-0.01708332883343111,-0.018775090296937868,0.0009179372969291256
9,0.002303028106689453,1.6876667570368243e-05,0.0012724876403808593,2.3318458405348388e-05,0.01,100.0,linear,"{'C': 0.01, 'epsilon': 100.0, 'kernel': 'linear'}",-0.7994314145102377,-0.8212161727317185,-0.8333327572968949,-0.8032806759728447,-0.7993944083295847,-0.8113310857682562,0.013643196374216585,25,-0.81419608925469,-0.8087498996993198,-0.8067406139612111,-0.8132337738890384,-0.8136447828250427,-0.8113130319258606,0.0029971648056270517,-0.9849454793721348,-1.0401872319073402,-1.0599355116854081,-1.0120639151539228,-0.9968595873996495,-1.018798345103691,0.027649336728590816,25,-1.0270161609793245,-1.0132057228455231,-1.0106369188685655,-1.0202365520338774,-1.0227386571388895,-1.0187668023732361,0.006049930959429295,-0.01714927696439439,-0.015894014832342984,-0.023438457516739453,-0.018134254901064573,-0.019579821019729327,-0.018839165046854144,0.0025972520988387362,25,-0.018968834544048407,-0.019324310341701345,-0.01977944172440793,-0.018719536041102325,-0.017083328833431777,-0.018775090296938357,0.000917937296928858
10,3.2223652839660644,0.05380501633469901,0.12559075355529786,0.0010834672188466362,0.1,0.001,linear,"{'C': 0.1, 'epsilon': 0.001, 'kernel': 'linear'}",-0.4109012954447879,-0.4155620461433977,-0.4085696462385416,-0.4046875049606456,-0.4122105414215494,-0.4103862068417844,0.0036375244592811774,14,-0.4086885464511648,-0.4075357317513001,-0.4093511267616764,-0.4101957181169723,-0.40831914337264985,-0.4088180532907527,0.0009046722453165994,-0.24421352921579423,-0.24933815818881483,-0.24108806713338946,-0.23754538049313473,-0.24191697658878178,-0.24282042232398302,0.003900383638458038,13,-0.2405322340743153,-0.23955059338467385,-0.2421115069594282,-0.2415897558354038,-0.24083094986122805,-0.2409230080230098,0.0008833779814833037,0.7478016602247723,0.7564850492263099,0.7672133853121424,0.7610298269188023,0.7525692978131145,0.7570198438990283,0.006709046525652926,12,0.7613524893403157,0.7590027988511406,0.7556982801711299,0.7587694701916997,0.7605007472229426,0.7590647571554457,0.0019349411635498563
11,3.027300310134888,0.10007533645433482,0.12357430458068848,0.0028226576032779845,0.1,0.01,linear,"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'linear'}",-0.41085367160517916,-0.4155611057471214,-0.4084361889002212,-0.4046371991572449,-0.4121016111454463,-0.4103179553110426,0.003654342126363249,7,-0.40869347128324396,-0.40753757440660277,-0.409351058711815,-0.41021125979252593,-0.4083319217488148,-0.40882505718860046,0.0009073416763221433,-0.24399303233610725,-0.24910151943219608,-0.24078267132697956,-0.23708546991820928,-0.2414546844095187,-0.24248347548460214,0.003979117428118368,7,-0.24036033532099751,-0.2394153379952957,-0.241911714647349,-0.24123387691231707,-0.24055670901960366,-0.2406955947791126,0.0008413608951936912,0.7480293664749595,0.7567161613656942,0.7675082653398407,0.761492496028442,0.7530421264675707,0.7573576831353014,0.006725831814746465,7,0.7615230411573006,0.7591388710262076,0.7558998798640256,0.7591248199492544,0.7607734716243861,0.759292016724235,0.0019354678755741177
12,0.01168231964111328,0.003798759259224356,0.001421213150024414,6.664061583814357e-05,0.1,1.0,linear,"{'C': 0.1, 'epsilon': 1.0, 'kernel': 'linear'}",-0.4111964705704885,-0.4148317880988234,-0.40675687914251885,-0.40568875395005455,-0.41146548043007286,-0.4099878744383917,0.0033475152337840326,6,-0.40975624728557086,-0.40843031734683527,-0.4105597452612593,-0.4111229832443309,-0.4096829796316404,-0.4099104545539274,0.0009119358663174875,-0.24395924357355184,-0.24653769581697632,-0.23888061560255716,-0.23864820543502452,-0.24003587088041387,-0.24161232626170476,0.003114506480786472,4,-0.24110829198346526,-0.23988811502834,-0.2419360379773633,-0.24242300827272767,-0.24208143488485323,-0.24148737762934988,0.000908950122441033,0.7480642599955883,0.7592201077571642,0.769344827050674,0.759920387254286,0.7544932773240706,0.7582085718763566,0.006995429553334514,5,0.7607809452121721,0.7586632389681889,0.7558753364979168,0.757937456738875,0.7592571768722891,0.7585028308578885,0.001612944400072018
13,0.0025380611419677734,7.558607492554539e-05,0.0012590408325195313,1.8786052714779074e-05,0.1,10.0,linear,"{'C': 0.1, 'epsilon': 10.0, 'kernel': 'linear'}",-0.7994314145102375,-0.8212161727317184,-0.8333327572968952,-0.8032806759728441,-0.7993944083295845,-0.811331085768256,0.013643196374216782,19,-0.8141960892546897,-0.8087498996993194,-0.8067406139612116,-0.813233773889038,-0.8136447828250425,-0.8113130319258601,0.0029971648056268175,-0.9849454793721341,-1.0401872319073395,-1.0599355116854088,-1.012063915153922,-0.996859587399649,-1.0187983451036906,0.027649336728591233,19,-1.0270161609793236,-1.0132057228455222,-1.0106369188685664,-1.0202365520338765,-1.0227386571388888,-1.0187668023732355,0.006049930959428847,-0.0171492769643935,-0.015894014832342318,-0.02343845751674012,-0.018134254901063684,-0.01957982101972866,-0.018839165046853658,0.002597252098839249,19,-0.01896883454404774,-0.019324310341700457,-0.019779441724408597,-0.018719536041101437,-0.01708332883343111,-0.018775090296937868,0.0009179372969291256
